beta,q,shat,electron_temp_gradient,electron_dens_gradient,deuterium_temp_gradient,kappa,delta,beta_prime,IBMgr,isIBMunstable,run_timestamp
0.000778842,4.714561909,0.490820561,2.179626877,1.046458006,1.076121167,1.6828501720448765,0.6131301161829763,-0.004220126130500816,-0.015518960291603988,False,2026-03-26T11:40:09.169572+00:00
0.000697656,3.372412961,0.526655531,0.335867824,1.14920168,1.588485653,2.009103498306295,0.6968499657035985,-0.003008838449229479,-0.03038557726945403,False,2026-03-26T11:40:09.169572+00:00
0.000656747,3.287182748,0.928204898,0.615512997,0.457126636,1.587933722,1.6079302211447768,0.6270033870164595,-0.0020917058804023393,-0.04501777539408017,False,2026-03-26T11:40:09.169572+00:00
0.001211378,3.2262126,0.300134955,1.26443264,1.188591609,1.645356759,1.8356726703062562,0.3992355831079161,-0.006517411708191681,-0.023049406326094393,False,2026-03-26T11:40:09.169572+00:00
0.017460366,3.430713946,0.922937474,1.684977892,0.613804444,1.20807175,1.8291220032922257,0.3373021329223046,-0.07299425918721628,-0.047970094142987904,False,2026-03-26T11:40:09.169572+00:00
0.008594077,3.893594347,0.520523313,0.851061499,0.707507522,1.108781323,1.1866276843137094,0.352967741677363,-0.029517081764080653,-0.0420097825946702,False,2026-03-26T11:40:09.169572+00:00
0.006183074,4.974804438,0.790292512,0.886047986,0.501046531,0.918059945,2.1759928011786362,0.5306704140931386,-0.01763948502504827,-0.01629049792938195,False,2026-03-26T11:40:09.169572+00:00
0.015830075,4.517469272,0.879196038,2.355115909,0.517750828,3.104680533,1.1481117231447828,0.6151619865539065,-0.10470672156393787,-0.04920766019191356,False,2026-03-26T11:40:09.169572+00:00
0.011738458,4.17028215,0.339466839,1.161215993,0.903608942,2.392499141,2.161038863784561,0.6266680882069322,-0.06420140022958948,-0.04301677402854168,False,2026-03-26T11:40:09.169572+00:00
0.015756804,3.533681895,0.963052225,2.395311458,0.67595809,1.143221023,1.1657430319143944,0.4114812389940327,-0.0780004359924123,-0.07102937713340154,False,2026-03-26T11:40:09.169572+00:00
0.006640095,3.092160619,0.889059989,0.783206905,0.498475013,2.021336125,2.0782476353106243,0.3674690512264514,-0.02579247911517186,-0.023966941823175512,False,2026-03-26T11:40:09.169572+00:00
0.017630052,4.753899574,0.9459366,1.733421982,0.936858337,0.592930528,2.701537965858314,0.6531048892294216,-0.07493432169339763,-0.03515653996875069,False,2026-03-26T11:40:09.169572+00:00
0.008055649,4.26119185,0.395757497,1.623253866,1.090712643,1.878243804,1.5775925206232495,0.3366490051029177,-0.04656610937186559,-0.04186566019726089,False,2026-03-26T11:40:09.169572+00:00
0.007812824,3.435193066,0.743220166,1.327310286,0.487514818,1.312723376,1.1654897133768645,0.4976790785941424,-0.02870636160176689,-0.042868946469884275,False,2026-03-26T11:40:09.169572+00:00
0.017158674,3.049921709,0.946606747,1.000531745,0.892072979,1.727678299,1.6409601844729331,0.46294131039344993,-0.07890421875422651,-0.0648660130101744,False,2026-03-26T11:40:09.169572+00:00
